name,region,contact,type,notes
"Центр социальной поддержки «Надежда»","Москва","+7-495-111-11-11","реабилитация","юридическая помощь и временное жильё"
"Волонтёры помощи «Тепло»","Санкт-Петербург","+7-812-222-22-22","психологическая поддержка","дежурная линия и сопровождение"
"Фонд возвращения «Новый путь»","Ростовская область","+7-863-333-33-33","трудоустройство","помощь с резюме и стажировками"
"Центр ресоциализации «Вектор»","Новосибирск","+7-383-444-44-44","юридическая помощь","помощь в восстановлении документов"
"Региональный центр поддержки","Краснодарский край","+7-861-555-55-55","жилищная помощь","временное размещение"
"Фонд «Второй шанс»","Воронеж","+7-473-666-66-66","реабилитация","психологические группы и наставничество"
"Помощь вместе","Нижегородская область","+7-831-777-77-77","трудоустройство","партнёрство с локальным бизнесом"
"Центр социальной адаптации","Свердловская область","+7-343-888-88-88","психологическая поддержка","онлайн-консультации"
"Проект «Надежда на дом»","Красноярский край","+7-391-999-99-99","жилищная помощь","координация с муниципалитетами"
"Юридическая клиника при вузе","Республика Татарстан","+7-843-101-01-01","юридическая помощь","бесплатные консультации"

